stock1, stock2, p_value
PLATM0000021, PLOPNPL00013, 8.139623356936988e-15
PLFAMUR00012, PLPONAR00012, 1.1146441901403723e-14
PLIDMSA00044, PLMKRNP00015, 1.247927916458831e-14
NL0011882741, PLTRMRX00011, 1.4587614113119042e-14
PLNFI0700018, PLZRWZW00012, 1.5590872123464375e-14
PLECHPS00019, PLSFNKS00011, 1.7827177633855453e-14
PLECHPS00019, PLRESBD00032, 2.221765345068781e-14
AT0000827209, PLLZPSK00019, 3.052506497953388e-14
LU0122624777, PLWELTN00012, 3.1444493811617783e-14
PLFERUM00014, PLPMPOL00031, 4.056127231265875e-14
PLPONAR00012, PLUNMST00014, 5.255958012415007e-14
PLIDMSA00044, PLKRKCH00019, 5.265979589760618e-14
PLAPATR00018, PLSFNKS00011, 5.798256585113378e-14
PLECHPS00019, PLZSTAL00012, 6.397087632751687e-14
LU0122624777, PLSANWL00012, 8.201581637371208e-14
PLKLNR000017, PLKRKCH00019, 8.292795386951227e-14
LU0122624777, PLWDM0000029, 9.724826813440255e-14
LU0122624777, PLIQPRT00017, 1.097022604762608e-13
LU0122624777, PLPRGNK00017, 1.1754678459677185e-13
PLFAMUR00012, PLKLSTN00017, 1.2153375281180726e-13
PLKLNR000017, PLKRINK00014, 1.2875909260011881e-13
PLPONAR00012, PLVSTLA00011, 1.2947280251277425e-13
PLGSPR000014, PLZAMET00010, 1.4761810889990167e-13
PLNFI0500012, PLTELL000023, 1.7203790814995008e-13
PLSKTAN00010, PLUNMST00014, 1.9385651760368456e-13
PLLZPSK00019, PLSFNKS00011, 1.9984324414490386e-13
LU0122624777, PLKGNRC00015, 2.0186886056962155e-13
LU0122624777, PLKRINK00014, 2.177909457266863e-13
PLATM0000021, PLERGIN00015, 2.385963895616091e-13
PLKLNR000017, PLMKRNP00015, 2.6959075335824736e-13
PLELEKT00016, PLKGNRC00015, 2.7245324277531923e-13
PLELZAB00010, PLSKLNW00011, 2.8420069874746487e-13
PLPONAR00012, PLZRWZW00012, 3.3488954851084527e-13
PLBAUMA00017, PLTRKPL00014, 3.5397936961231757e-13
PLELKOP00013, PLIDMSA00044, 3.6654514359325974e-13
PLGSPR000014, PLKNOPL00014, 3.906998802416167e-13
LU0122624777, PLZCPLC00036, 4.257080853813358e-13
PLMSTSD00019, PLRFMET00016, 4.272294332220978e-13
PLKMPTR00012, PLPZBDT00013, 4.4053979332462105e-13
LU0122624777, PLHELIO00014, 4.597586146463793e-13
LU0122624777, PLTALEX00017, 4.724899458981448e-13
LU0122624777, PLPLSEP00013, 5.364889918075304e-13
PLATM0000021, PLZSTAL00012, 5.707670357673545e-13
LU0122624777, PLLSSFT00016, 7.442070380080549e-13
PLBAUMA00017, PLOPNPL00013, 7.837121295654833e-13
LU0122624777, PLCOMAR00012, 7.900813361313315e-13
LU0122624777, PLNFI1200018, 8.251583115367868e-13
PLNFI0500012, PLZAPUL00057, 8.326642851171376e-13
LU0122624777, PLKGHM000017, 8.939418463395368e-13
LU0122624777, PLZAPUL00057, 9.802906180600149e-13
LU0122624777, PLPEKPL00010, 1.0310706994159971e-12
PLPONAR00012, PLRELPL00014, 1.051306007379876e-12
PLELEKT00016, PLLSSFT00016, 1.1308773214884571e-12
LU0122624777, PLPWRMD00011, 1.386856222849694e-12
PLFAMUR00012, PLSEKO000014, 1.41817220233139e-12
LU0122624777, PLAMBRA00013, 1.4288751260551235e-12
PLELEKT00016, PLSANWL00012, 1.6531782515925033e-12
LU0122624777, PLERTEL00011, 2.2469629165266845e-12
PLELEKT00016, PLTALEX00017, 2.3614330790341244e-12
PLELEKT00016, PLZAPUL00057, 2.4731095428555626e-12
LU0122624777, PLSNZKA00033, 2.7035337182064355e-12
LU0122624777, PLACTIN00018, 2.720553552745299e-12
PLFERUM00014, PLHELIO00014, 2.749450399005884e-12
PLMDCLG00015, PLPSSUS00018, 2.7633475121989007e-12
LU0122624777, PLSELNA00010, 2.804775436957342e-12
PLELEKT00016, PLZCPLC00036, 3.4193458918290255e-12
PLZBMZC00019, PLZSTAL00012, 3.5184819398183624e-12
PLBIOTN00029, PLSFNKS00011, 3.66474965865727e-12
PLLUBAW00013, PLNFI0500012, 3.733049479670505e-12
PLELEKT00016, PLSNZKA00033, 3.869560737110599e-12
PLVSTLA00011, PLZSTAL00012, 4.273278456540175e-12
PLZBMZC00019, PLZCPLC00036, 4.364613530883594e-12
PLELEKT00016, PLMSTWS00019, 4.661982626953234e-12
PLIDMSA00044, PLNTSYS00013, 4.772565897419513e-12
LU0122624777, PLMKRNP00015, 5.011891665753736e-12
PLKOMPP00017, PLNFI1200018, 5.2356201623388056e-12
PLELEKT00016, PLNFI1200018, 5.362595058627959e-12
LU0122624777, PLKPPD000017, 5.839677311952314e-12
LU0122624777, PLWOJAS00014, 5.916205779636712e-12
PLZBMZC00019, PLZRWZW00012, 5.992932452411179e-12
PLELEKT00016, PLNVITA00018, 6.016169969277305e-12
LU0122624777, PLNVITA00018, 6.19327979554794e-12
PLBAUMA00017, PLCTINT00018, 6.295903014787384e-12
PLELEKT00016, PLOPTTC00011, 6.336254639334028e-12
LU0122624777, PLKOMPP00017, 6.512917707566825e-12
PLECHPS00019, PLPANVA00013, 6.898651082452277e-12
LU0122624777, LU0607203980, 6.9092699923918566e-12
PLSANWL00012, PLSTLSK00016, 6.949393339260689e-12
AT0000827209, PLLSSFT00016, 6.9681929004535414e-12
PLELEKT00016, PLERTEL00011, 7.165212375797158e-12
LU0122624777, PLCFRPT00013, 7.522817678281904e-12
PLELEKT00016, PLHELIO00014, 7.564749118007539e-12
PLELEKT00016, PLPLSEP00013, 7.71858498423487e-12
PLDUDA000016, PLKLNR000017, 7.83197976808292e-12
PLPEPES00018, PLPONAR00012, 8.77077413832278e-12
PLDGA0000019, PLMRCOR00016, 8.81755641231489e-12
LU0122624777, PLUNBEP00015, 1.0319201711739322e-11
PLMSTSD00019, PLVSTLA00011, 1.0440099349651297e-11
PLELEKT00016, PLKGHM000017, 1.1152936008572716e-11
PLELEKT00016, PLPKN0000018, 1.1414718365886282e-11
PLELEKT00016, PLERGZB00014, 1.141861547882138e-11
PLELEKT00016, PLEURCH00011, 1.2505878474523029e-11
LU0122624777, PLERGZB00014, 1.2653390486787724e-11
NL0009508712, PLNEWAG00012, 1.320011468228076e-11
HU0000089198, LU0646112838, 1.4418295803684935e-11
PLSANWL00012, PLSTLPD00017, 1.4484833771116551e-11
PLATTFI00018, PLPSSUS00018, 1.4997064570124022e-11
PLINTSP00038, PLKRKCH00019, 1.5446491283559352e-11
