stock1, stock2, p_value, crossings
AT0000827209, PLSEKO000014, 5.072930683052969e-07, 0.03411565448826518
EE3100063686, PLMSTZB00018, 8.402903019453024e-07, 0.03392911239018479
PLASMGR00014, PLSMFBC00016, 2.081704581453355e-05, 0.033860045146726865
PLBAUMA00017, PLINTRL00013, 4.4881374746663166e-08, 0.03376491495303376
PLADDRG00015, PLFAMUR00012, 2.4724380180683536e-07, 0.03373173970783533
PLINTKS00013, PLZATRM00012, 9.93166200784115e-06, 0.033628318584070796
PLBAUMA00017, PLERGIN00015, 4.01956376185164e-07, 0.03356713426853707
LU0122624777, PLMFO0000013, 6.54120095561259e-11, 0.03353783231083845
PLMDCLG00015, PLPSSUS00018, 2.7633475121989007e-12, 0.0334855403348554
NL0011882741, PLPKPCR00011, 9.530633993843373e-06, 0.03344298245614035
PLTLKPL00017, PLTRMRX00011, 1.7377438411460804e-08, 0.0333091962346126
PLRESBD00032, PLSKRBH00014, 6.769557702476999e-07, 0.03321364452423698
FR0000060873, PLMLSTM00015, 1.3339631481150275e-06, 0.033157498116051246
PLBSK0000017, PLKNOPL00014, 7.352208520897085e-07, 0.03294573643410853
PLINTBD00014, PLINTGR00013, 2.4258896174893823e-08, 0.032898820608317815
PLRFMET00016, PLSKTAN00010, 2.115515451359432e-06, 0.03282704556589907
PLKPPD000017, PLNFI1200018, 2.3851417580538327e-05, 0.032491877030742314
PLESTHN00018, PLLZPSK00019, 3.559900117971256e-30, 0.03244646333549643
PLESTHN00018, PLNFI0500012, 8.418631533112122e-30, 0.03244646333549643
PLESTHN00018, PLMCIMG00012, 1.2746011814263947e-26, 0.03244646333549643
PLRFMET00016, PLTLKPL00017, 6.586365142418624e-08, 0.03233708966193043
PLBAUMA00017, PLMRVPL00016, 3.04577303020817e-08, 0.03232533889468196
AT0000827209, PLBSK0000017, 1.3506561782418568e-06, 0.032281205164992825
PLMAKRM00019, PLWRWCK00013, 1.950367785685881e-05, 0.03226619611797328
PLBAUMA00017, PLCAMMD00032, 7.647060170543651e-07, 0.03221616004156924
PLKRVTM00010, PLNVITA00018, 1.3996233286494204e-05, 0.032175689479060264
PLRESBD00032, PLZTKMA00017, 5.541307367504215e-07, 0.03212951432129514
PLGMNGF00017, PLTORPL00016, 3.909527196331159e-06, 0.03198031980319803
PLGTC0000037, PLIZSTL00015, 2.0077707577623725e-05, 0.031911532385466033
PLINTKS00013, PLPEPES00018, 1.6259617284641203e-05, 0.03185840707964602
PLPMPOL00031, PLPRCHM00014, 1.9894586728770406e-05, 0.031853057428505
PLKOMPP00017, PLNFI1200018, 5.2356201623388056e-12, 0.03183747725894481
PLGRNKT00019, PLNFI1200018, 1.033914445836168e-06, 0.03178991015894955
PLHDRTR00013, PLWRWCK00013, 2.6947905114163314e-05, 0.03176203680362995
ES0105375002, PLCRPJR00019, 7.858643283390584e-07, 0.031538461538461536
LU0122624777, PLLBPRT00013, 7.949257336434816e-11, 0.03153526970954357
PLESTHN00018, PLINSTK00013, 2.075978316637368e-30, 0.03147306943543154
PLATREM00017, PLLBT0000013, 5.419304354967674e-06, 0.031450577663671375
PLREDAN00019, PLSELVT00013, 6.08847160071953e-06, 0.031341821743388835
AT0000827209, PLMNNCP00011, 2.1563113730070568e-09, 0.031324725011956
PLINTKS00013, PLPKO0000016, 1.1290936122498736e-05, 0.03126843657817109
PLMAKRM00019, PLREMAK00016, 1.11868611234068e-05, 0.031188118811881188
PLELEKT00016, PLSOFTB00016, 2.5924773129715995e-09, 0.03118148599269184
AT0000827209, PLLZPSK00019, 3.052506497953388e-14, 0.031085604973696796
AT0000827209, PLSONEL00011, 8.107088084875559e-07, 0.03105263157894737
PLHDRTR00013, PLKRINK00014, 1.8035973002639035e-08, 0.03094302554027505
IT0005239360, PLCOMPR00010, 5.94885889122288e-06, 0.030933967876264127
PLMOJ0000015, PLWDM0000029, 2.545895587377149e-07, 0.03089957637677548
LU0122624777, PLNEWAG00012, 1.8778358344376916e-05, 0.030844155844155844
PLKLSTN00017, PLZRWZW00012, 3.276379459262876e-06, 0.03075805279728748
PLGMNGF00017, PLPMPOL00031, 3.473032289746181e-09, 0.03075030750307503
PLGMNGF00017, PLMAKRM00019, 2.8863813543096434e-06, 0.03075030750307503
NL0011882741, PLERPCO00017, 3.247542860423306e-07, 0.03070175438596491
PLIQPRT00017, PLSELVT00013, 3.646460057997116e-06, 0.0306888671237349
LU0122624777, PLSELVT00013, 9.595423902706613e-06, 0.0306888671237349
PLGSPR000014, PLVOXEL00014, 4.59302570437292e-07, 0.030656447850716428
PLPONAR00012, PLRELPL00014, 1.051306007379876e-12, 0.030556848146424693
PLSOFTB00016, PLUNMST00014, 6.151590720626414e-09, 0.03052359708851843
PLHDRTR00013, PLIZCJR00017, 1.4825095599497404e-05, 0.030522892169126844
PLESTHN00018, PLKLNR000017, 1.5910333298235406e-29, 0.030499675535366644
PLLZPSK00019, PLPANVA00013, 1.6363438952399564e-05, 0.030460624071322436
DE000A2E3772, PLPOLWX00026, 1.9593081149517634e-05, 0.03041589075108628
PLIDMSA00044, PLSOFTB00016, 3.033188134675189e-07, 0.03038978198634662
PLBAUMA00017, PLOPNPL00013, 7.837121295654834e-13, 0.03037911122269646
PLRFMET00016, PLSNZKA00033, 3.007761988425249e-09, 0.030377266046055854
PLRFMET00016, PLZTKMA00017, 4.654524781570612e-08, 0.030377266046055854
PLBAUMA00017, PLTRKPL00014, 3.539793696123176e-13, 0.030334190231362468
PLINCLT00015, PLWDM0000029, 2.042212986855572e-05, 0.03015200598056317
PLMDCLG00015, PLMLSTM00015, 5.217089784334333e-09, 0.03014318010550113
PLINTBD00014, PLZAMET00010, 4.154170703353693e-07, 0.029980013324450366
PLKMPTR00012, PLSNZKA00033, 5.247057776755425e-07, 0.02994308339519921
PLECHPS00019, PLKRKCH00019, 4.39006533063375e-22, 0.029940119760479042
LU0611262873, PLMFO0000013, 4.508451526916837e-09, 0.02985685071574642
PLESTHN00018, PLZRWZW00012, 1.1767978570085125e-29, 0.029850746268656716
PLESTHN00018, PLKMPTR00012, 4.2348538105136944e-22, 0.029850746268656716
PLMXCMS00016, PLPKN0000018, 1.1492772485692418e-05, 0.029841269841269842
PLVSTLA00011, PLWELTN00012, 8.174634091773236e-07, 0.029801324503311258
PLATM0000021, PLKPPD000017, 4.727129159287872e-11, 0.029742564358910272
PLGSPR000014, PLZAMET00010, 1.476181088999017e-13, 0.029646902065289808
LU0646112838, PLZEPAK00012, 8.619153254729328e-06, 0.029605263157894735
PLGMNGF00017, PLSKTAN00010, 3.5351794996053748e-06, 0.02952029520295203
PLGMNGF00017, PLGSPR000014, 2.2742855490126e-05, 0.02952029520295203
PLGMNGF00017, PLZSTAL00012, 2.4682834042173452e-05, 0.02952029520295203
PLRNKPR00014, PLXTRDM00011, 2.697496728774464e-05, 0.029506437768240343
PLMNNCP00011, PLVOTUM00016, 1.1362004788106565e-07, 0.029494822717288986
PLINTBD00014, PLVSTLA00011, 6.845005375357034e-07, 0.029484792054624457
PLMAKRM00019, PLPEKPL00010, 1.416229395653038e-05, 0.029455445544554454
PLSTPRK00019, PLTORPL00016, 3.258688601086398e-06, 0.029398859148749453
PLGSPR000014, PLWNDMB00010, 4.657064387274898e-06, 0.029333333333333333
PLESTHN00018, PLPANVA00013, 0.0, 0.029201817001946788
PLESTHN00018, PLVOTUM00016, 4.690511892920308e-30, 0.029201817001946788
PLESTHN00018, PLSELNA00010, 1.2128541601534414e-22, 0.029201817001946788
PLESTHN00018, PLMNNCP00011, 7.821347411182043e-22, 0.029201817001946788
PLINTBD00014, PLTLKPL00017, 2.433398288197812e-06, 0.029174425822470516
PLPRCHM00014, PLSTPRK00019, 4.817266259449401e-06, 0.029114236368122378
AT0000827209, PLMSTZB00018, 1.9666705051591647e-10, 0.02893352462936394
PLPMPOL00031, PLRESBD00032, 1.3298410727928492e-05, 0.028891656288916562
PLKMPTR00012, PLOPNPL00013, 1.0791531262425166e-05, 0.028872709013306554
PLINTBD00014, PLPEPES00018, 3.2138649937408343e-06, 0.028864059590316574
AT0000827209, PLPRGNK00017, 1.698249386982124e-08, 0.02881619937694704
PLDGA0000019, PLNTSYS00013, 1.5311158143824176e-16, 0.02878937007874016
PLLENTX00010, PLTOYA000011, 1.0426415147040424e-06, 0.02877935825339067
PLGRNKT00019, PLLSSFT00016, 5.7682261488755946e-06, 0.02868002764340014
PLMSTSD00019, PLNFI0700018, 1.7595216224529074e-06, 0.02858020897357099
PLESTHN00018, PLNFI1200018, 3.3639794396780475e-30, 0.02855288773523686
PLESTHN00018, PLZCPLC00036, 9.799817711726676e-30, 0.02855288773523686
PLESTHN00018, PLSNZKA00033, 6.4023991676307195e-25, 0.02855288773523686
PLESTHN00018, PLKGHM000017, 4.0495848188312e-22, 0.02855288773523686
PLMSTWS00019, PLZPCOT00018, 1.396196142087801e-05, 0.028518859245630176
PLBSK0000017, PLTOYA000011, 7.930112809566563e-11, 0.02844856103208733
PLRFMET00016, PLTRNSU00013, 6.165614445000604e-07, 0.028417442430181284
LU0122624777, PLAGORA00067, 8.004725496409578e-06, 0.02840352595494613
PLLENAL00015, PLOPNPL00013, 2.8945757770782293e-06, 0.02837057494350992
PLIDMSA00044, PLZRWZW00012, 0.0, 0.028292914883499762
PLGMNGF00017, PLVNTIN00011, 2.356760341613692e-07, 0.028290282902829027
LU0122624777, LU0611262873, 7.140445271898632e-08, 0.028277634961439587
PLELEKT00016, PLKGNRC00015, 2.724532427753193e-13, 0.02825822168087698
PLELEKT00016, PLLPP0000011, 4.929477859403169e-09, 0.02825822168087698
PLINTBD00014, PLMBION00016, 2.0852145247904537e-05, 0.02824332712600869
PLBAUMA00017, PLZATRM00012, 1.7018471502571747e-07, 0.02820579785844868
PLMAKRM00019, PLOPNPL00013, 7.613058005061546e-07, 0.028119507908611598
CY0101062111, PLCELPD00013, 1.0976145649686832e-05, 0.028107432854465958
NL0009508712, PLSELVT00013, 3.5426757610155444e-06, 0.028077048645119163
NL0011882741, PLCELPD00013, 4.389079926783217e-09, 0.027960526315789474
PLIDMSA00044, PLUNMST00014, 4.877531450867081e-10, 0.02794083118102841
PLBAUMA00017, PLRNBWT00031, 4.8458197918786666e-08, 0.027917505030181086
PLESTHN00018, PLPEKAO00016, 8.141097333136321e-30, 0.027903958468526932
PLSFNKS00011, PLTRNSU00013, 1.5467840556042423e-08, 0.027860925627446465
PLERGIN00015, PLPEPES00018, 1.0413992666283938e-05, 0.02780561122244489
AT0000827209, PLXPLUS00013, 3.13882995610558e-07, 0.02778499091145157
PLINTSP00038, PLTRNSU00013, 2.74232153721078e-05, 0.027713088029809037
